#id:	contig_0
#START	STOP	FRAME	CONTIG	SCORE
336	1	-	contig_0	-5.070209E+01
517	326	-	contig_0	-4.748474E+01
760	542	-	contig_0	-1.382391E+02
1020	757	-	contig_0	-1.147138E+02
#id:	contig_1
#START	STOP	FRAME	CONTIG	SCORE
173	3	-	contig_1	-1.933248E+00
394	170	-	contig_1	-2.221338E+01
668	435	-	contig_1	-1.188117E+02
1152	709	-	contig_1	-1.282468E+03
1308	1216	-	contig_1	-1.285550E+00
1744	1286	-	contig_1	-5.165921E+02
1862	1755	-	contig_1	-1.758495E-01
2243	2007	-	contig_1	-5.344075E+02
2197	2355	+	contig_1	-2.859679E-01
2480	2635	+	contig_1	-2.660155E+00
3379	2918	-	contig_1	-2.480574E+03
3684	3418	-	contig_1	-1.385434E+02
3953	3720	-	contig_1	-7.574012E+01
4092	3982	-	contig_1	-1.028389E-01
4590	4228	-	contig_1	-1.356869E+03
5100	4603	-	contig_1	-2.555804E+03
5837	5142	-	contig_1	-6.547380E+05
5811	5912	+	contig_1	-2.859635E-01
5969	6079	+	contig_1	-1.296537E+00
6603	6106	-	contig_1	-6.104192E+03
6863	6648	-	contig_1	-4.421042E+01
7001	6906	-	contig_1	-1.283034E+00
7109	7005	-	contig_1	-1.187240E-01
7500	7144	-	contig_1	-1.425991E+02
8935	7592	-	contig_1	-2.172252E+11
9269	8940	-	contig_1	-1.358026E+03
9680	9309	-	contig_1	-2.326009E+03
10097	9822	-	contig_1	-1.196146E+02
10587	10183	-	contig_1	-3.109016E+02
10971	10747	-	contig_1	-5.737867E+01
11327	10983	-	contig_1	-6.116900E+01
11602	11306	-	contig_1	-2.407029E+02
11992	11618	-	contig_1	-4.577220E+03
12900	12082	-	contig_1	-1.732659E+06
13391	13287	-	contig_1	-8.331998E-02
13852	13427	-	contig_1	-1.456132E+03
14759	13860	-	contig_1	-1.811811E+07
14845	14756	-	contig_1	-4.355940E+00
15709	14873	-	contig_1	-4.236750E+06
16218	15673	-	contig_1	-3.678275E+03
16469	16236	-	contig_1	-8.530493E+00
16810	16604	-	contig_1	-8.005304E+01
17098	16862	-	contig_1	-1.649635E+01
17393	17112	-	contig_1	-6.173809E+02
18504	17347	-	contig_1	-3.934948E+07
19376	18501	-	contig_1	-7.238244E+05
19501	19385	-	contig_1	-1.339267E+00
19977	19519	-	contig_1	-2.667663E+02
20326	20018	-	contig_1	-4.134965E+01
20573	20298	-	contig_1	-1.780927E+02
20935	20606	-	contig_1	-5.490892E+02
20921	21049	+	contig_1	-1.977794E+00
21686	21192	-	contig_1	-1.004430E+03
22111	21878	-	contig_1	-3.611449E+01
22635	22210	-	contig_1	-2.402797E+02
22888	22724	-	contig_1	-1.048406E+01
23144	22992	-	contig_1	-2.573362E+00
23381	23199	-	contig_1	-1.936293E+01
23850	23371	-	contig_1	-8.447330E+02
